学生ID,学部,性別,身長cm,一人暮らし,通学時間min,睡眠時間h,SNS時間h,勉強時間h,アルバイト時間week,出席率,朝食日数week,テスト点,世帯年収万円
26B0001,社会福祉学部,女,155.4,いいえ,63.0,6.3,5.3,1.4,10,81,2,40,153
26B0002,経済学部,女,160.5,はい,9.0,7.4,2.5,2.1,27,85,4,52,1340
26B0003,文学部,女,150.1,いいえ,73.0,7.3,4.5,0.0,16,71,2,56,417
26B0004,文学部,男,160.8,いいえ,5.0,6.9,2.8,3.3,23,85,7,58,12000
26B0005,文学部,男,167.7,いいえ,103.0,7.9,2.5,3.3,14,76,5,79,552
26B0006,文学部,男,175.0,いいえ,60.0,6.7,2.0,0.3,10,87,3,63,1085
26B0007,経済学部,男,170.8,いいえ,58.0,6.7,1.3,1.2,8,81,2,60,284
26B0008,経済学部,女,1710.0,いいえ,80.0,5.2,3.4,2.1,5,86,5,66,487
26B0009,文学部,男,169.4,はい,22.0,7.7,4.0,2.0,9,86,3,45,372
26B0010,社会福祉学部,男,172.1,いいえ,48.0,5.8,2.7,0.2,5,79,3,44,437
26B0011,文学部,女,152.6,いいえ,45.0,6.5,0.4,1.7,6,90,6,58,329
26B0012,経済学部,女,149.2,いいえ,58.0,6.9,2.9,1.4,18,77,5,59,336
26B0013,社会福祉学部,女,150.7,はい,27.0,6.7,3.0,1.3,17,81,4,55,594
26B0014,経済学部,男,166.2,はい,33.0,6.2,3.7,1.2,8,81,5,63,578
26B0015,文学部,男,182.8,いいえ,5.0,8.3,2.1,2.3,16,88,4,76,314
26B0016,社会福祉学部,女,150.3,はい,21.0,,1.4,1.4,15,76,4,53,499
26B0017,文学部,男,165.7,いいえ,15.0,8.8,2.8,2.1,12,90,4,67,335
26B0018,経済学部,男,179.2,いいえ,123.0,6.2,3.3,1.7,11,73,5,54,750
26B0019,経済学部,女,154.0,いいえ,75.0,6.1,4.1,1.6,5,87,4,62,776
26B0020,文学部,男,174.5,はい,16.0,7.9,3.8,1.0,13,64,3,54,905
26B0021,社会福祉学部,女,144.3,いいえ,67.0,5.5,2.8,1.9,14,84,5,53,480
26B0022,文学部,女,152.2,いいえ,72.0,7.3,0.7,1.7,2,91,4,64,415
26B0023,経済学部,女,161.1,いいえ,32.0,6.6,4.4,1.5,7,77,5,60,542
26B0024,経済学部,女,147.8,はい,18.0,6.8,2.7,0.7,21,79,4,53,431
26B0025,文学部,男,172.1,いいえ,76.0,5.9,1.8,2.3,13,86,5,59,546
26B0026,文学部,男,171.2,いいえ,59.0,7.2,0.6,1.6,10,99,7,53,431
26B0027,経済学部,女,154.6,はい,18.0,8.3,3.2,0.3,22,75,2,55,319
26B0028,文学部,女,156.3,はい,21.0,7.8,2.3,2.2,18,93,6,60,613
26B0029,文学部,女,162.2,はい,19.0,7.6,3.6,0.1,30,74,2,60,798
26B0030,経済学部,女,157.7,はい,28.0,6.6,4.2,2.4,23,87,4,82,737
26B0031,社会福祉学部,男,176.9,はい,40.0,6.5,4.6,0.5,16,75,3,72,319
26B0032,経済学部,女,162.7,はい,26.0,8.2,2.3,1.2,17,94,5,67,994
26B0033,経済学部,男,180.2,いいえ,25.0,8.0,3.6,1.5,6,92,5,49,253
26B0034,文学部,女,155.4,いいえ,84.0,7.2,0.9,3.0,16,94,7,78,404
26B0035,社会福祉学部,男,172.0,いいえ,62.0,6.5,3.8,1.4,18,80,2,59,575
26B0036,文学部,女,151.7,いいえ,70.0,8.0,3.2,2.3,9,86,4,57,559
26B0037,文学部,女,161.7,いいえ,76.0,6.8,4.2,0.0,0,78,3,42,479
26B0038,経済学部,女,153.7,いいえ,28.0,5.4,2.9,0.5,3,76,2,40,439
26B0039,文学部,男,174.7,いいえ,62.0,6.6,1.4,2.0,14,89,6,58,459
26B0040,文学部,男,169.3,はい,14.0,6.6,0.4,1.6,16,84,6,35,868
26B0041,経済学部,女,156.9,はい,23.0,5.8,3.3,2.5,24,83,4,73,894
26B0042,社会福祉学部,女,159.3,はい,24.0,7.4,3.4,1.5,21,78,4,49,577
26B0043,経済学部,女,153.5,いいえ,32.0,,3.5,0.7,13,79,3,68,347
26B0044,文学部,男,167.0,いいえ,60.0,7.0,2.0,3.1,11,95,6,62,729
26B0045,文学部,男,167.2,いいえ,49.0,7.0,2.5,2.5,10,90,5,58,1049
26B0046,文学部,男,167.7,いいえ,57.0,8.8,1.9,2.5,8,88,4,64,761
26B0047,社会福祉学部,男,174.7,はい,26.0,8.0,2.0,3.3,19,91,6,50,408
26B0048,社会福祉学部,女,155.6,いいえ,20.0,6.6,2.3,0.0,3,74,3,40,464
26B0049,経済学部,男,167.5,いいえ,68.0,8.3,0.0,3.4,12,100,7,93,1017
26B0050,経済学部,女,162.9,いいえ,66.0,9.4,0.0,3.9,9,100,7,76,631
26B0051,文学部,男,175.1,いいえ,31.0,8.2,1.4,2.0,20,90,7,67,349
26B0052,経済学部,女,157.0,いいえ,83.0,8.0,3.0,1.7,0,85,4,50,975
26B0053,文学部,男,185.7,はい,18.0,6.0,2.8,0.4,23,77,2,41,438
26B0054,文学部,女,151.6,いいえ,56.0,8.1,2.4,2.9,6,84,5,69,1193
26B0055,文学部,女,167.5,はい,24.0,6.8,4.3,0.8,26,78,5,67,1667
26B0056,文学部,女,159.5,はい,24.0,6.4,4.8,1.3,25,88,4,47,1127
26B0057,経済学部,女,163.9,いいえ,48.0,7.2,4.1,1.1,2,74,4,45,800
26B0058,社会福祉学部,女,156.1,はい,13.0,9.3,2.3,2.0,3,78,5,50,574
26B0059,文学部,男,177.9,いいえ,92.0,7.5,0.5,2.3,7,96,5,53,298
26B0060,社会福祉学部,男,165.0,いいえ,7.0,7.7,1.0,0.5,9,78,3,46,410
26B0061,社会福祉学部,女,162.7,はい,24.0,6.3,3.2,1.3,37,83,3,65,338
26B0062,文学部,男,172.5,いいえ,82.0,5.0,3.9,2.1,0,69,4,59,436
26B0063,文学部,男,176.3,はい,15.0,7.0,3.4,0.9,22,81,2,34,650
26B0064,社会福祉学部,男,168.0,いいえ,62.0,5.3,6.1,0.8,2,74,2,24,442
26B0065,文学部,男,173.4,いいえ,45.0,6.3,2.5,0.0,0,70,3,49,827
26B0066,社会福祉学部,男,166.2,いいえ,29.0,9.2,1.4,3.8,17,93,6,80,390
26B0067,文学部,男,168.8,いいえ,23.0,5.3,1.2,1.9,16,89,5,56,693
26B0068,経済学部,男,169.4,いいえ,73.0,7.2,4.0,1.2,12,88,6,50,939
26B0069,経済学部,回答しない,161.3,いいえ,85.0,6.5,3.4,0.8,4,75,4,38,404
26B0070,社会福祉学部,男,168.0,いいえ,27.0,7.4,1.1,2.7,17,82,3,69,520
26B0071,経済学部,女,150.6,いいえ,31.0,5.7,4.2,0.5,10,64,1,59,355
26B0072,社会福祉学部,女,157.2,はい,7.0,6.9,5.0,0.4,12,71,4,47,397
26B0073,経済学部,男,179.6,いいえ,116.0,7.0,3.2,3.6,5,96,7,62,607
26B0074,社会福祉学部,女,174.9,はい,10.0,8.1,3.2,1.2,16,83,1,52,605
26B0075,経済学部,男,165.9,はい,26.0,7.7,2.7,2.8,19,89,6,66,801
26B0076,経済学部,回答しない,160.4,いいえ,28.0,8.3,2.2,1.5,8,94,7,54,394
26B0077,社会福祉学部,男,172.9,はい,13.0,6.8,2.9,0.6,16,77,5,49,604
26B0078,経済学部,女,160.9,いいえ,85.0,7.1,3.0,0.6,14,73,4,43,745
26B0079,文学部,男,163.2,はい,11.0,8.3,3.5,2.5,17,92,6,51,522
26B0080,経済学部,男,157.1,はい,12.0,6.1,2.4,0.8,22,81,4,67,619
26B0081,経済学部,女,159.5,いいえ,67.0,8.9,0.0,3.3,8,100,7,65,279
26B0082,社会福祉学部,男,178.9,いいえ,81.0,8.6,2.4,0.0,3,81,2,53,358
26B0083,文学部,男,179.5,いいえ,71.0,7.7,2.3,1.1,11,83,4,51,925
26B0084,社会福祉学部,男,170.9,いいえ,29.0,6.2,2.8,2.2,0,82,5,62,249
26B0085,経済学部,女,166.3,はい,20.0,6.6,2.1,1.6,19,89,7,53,237
26B0086,文学部,男,169.9,いいえ,79.0,4.4,4.2,1.2,16,86,3,47,579
26B0087,社会福祉学部,女,149.6,はい,26.0,6.1,3.7,1.1,20,78,3,53,273
26B0088,社会福祉学部,男,170.1,はい,17.0,8.4,2.8,2.6,19,75,5,72,1079
26B0089,文学部,男,177.1,いいえ,55.0,7.3,4.3,0.5,11,69,4,47,9500
26B0090,文学部,男,171.7,いいえ,58.0,6.4,1.5,2.1,8,86,6,69,394
26B0091,経済学部,女,154.6,いいえ,61.0,6.1,1.5,1.6,11,88,4,65,576
26B0092,経済学部,男,171.3,いいえ,21.0,5.6,5.5,0.7,10,65,3,46,359
26B0093,文学部,男,173.0,いいえ,57.0,6.9,4.5,0.0,12,68,2,36,222
26B0094,文学部,女,158.8,いいえ,55.0,6.6,1.1,0.6,5,71,1,65,616
26B0095,経済学部,男,172.8,いいえ,10.0,8.4,2.5,1.7,11,90,4,60,274
26B0096,文学部,男,173.2,はい,32.0,7.5,1.9,1.8,14,90,5,37,719
26B0097,経済学部,男,177.4,いいえ,49.0,6.8,4.8,0.8,0,77,3,35,1064
26B0098,社会福祉学部,男,171.7,はい,19.0,6.6,3.5,0.5,21,90,4,53,635
26B0099,経済学部,女,157.0,はい,17.0,6.4,4.2,0.7,15,83,3,64,1058
26B0100,文学部,男,173.1,はい,14.0,6.3,4.9,1.0,20,72,2,54,523
26B0101,文学部,女,161.5,いいえ,60.0,5.7,5.6,0.9,10,68,1,72,791
26B0102,文学部,女,147.5,いいえ,,7.4,4.2,1.4,18,92,3,60,831
26B0103,文学部,女,164.8,いいえ,57.0,7.0,1.1,1.2,2,96,6,53,455
26B0104,経済学部,女,168.1,いいえ,99.0,6.4,3.2,1.0,1,76,3,48,709
26B0105,文学部,女,158.1,はい,12.0,7.1,0.4,1.9,20,88,7,53,584
26B0106,社会福祉学部,女,161.6,いいえ,95.0,7.8,3.9,1.2,18,85,5,62,272
26B0107,文学部,女,153.5,いいえ,60.0,8.2,2.4,2.8,13,78,5,69,385
26B0108,経済学部,女,162.0,いいえ,83.0,8.6,1.6,1.3,9,84,5,42,397
26B0109,経済学部,男,165.9,いいえ,96.0,7.6,4.4,3.7,21,88,3,78,354
26B0110,経済学部,女,159.0,はい,35.0,7.5,1.0,2.3,22,83,6,71,386
26B0111,経済学部,女,161.4,はい,24.0,5.9,3.2,0.4,23,78,1,60,945
